date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-03-21,0.1,33.0,19.0,45.416666666666664,1010.25,26.125,9.958333333333334,4.583333333333333,231.54166666666666,15.5,7.291666666666667,27.291666666666668,0.0,11.6,7.0,2009,3,21,True
2009-03-22,0.8,30.0,20.0,48.083333333333336,1009.9166666666666,25.75,9.75,6.166666666666667,152.66666666666666,35.416666666666664,8.833333333333334,26.375,0.0,11.6,6.0,2009,3,22,True
2009-03-23,1.3,33.0,20.0,52.791666666666664,1011.4166666666666,25.666666666666668,9.791666666666666,4.375,187.125,36.666666666666664,6.125,26.291666666666668,0.0,11.6,6.0,2009,3,23,True
2009-03-24,1.7,30.0,21.0,60.875,1012.4583333333334,24.291666666666668,9.958333333333334,4.208333333333333,144.91666666666666,41.25,5.958333333333333,24.875,0.0,10.2,5.0,2009,3,24,True
2009-03-25,0.30000000000000004,29.0,20.0,58.708333333333336,1012.0,24.083333333333332,9.916666666666666,5.041666666666667,131.45833333333334,24.458333333333332,7.916666666666667,24.833333333333332,0.0,11.6,5.0,2009,3,25,True
2009-03-26,0.1,30.0,19.0,55.958333333333336,1010.9166666666666,24.875,9.958333333333334,5.166666666666667,191.04166666666666,20.166666666666668,7.833333333333333,25.708333333333332,0.0,11.6,6.0,2009,3,26,True
2009-03-27,0.4,34.0,21.0,50.916666666666664,1010.9166666666666,26.791666666666668,9.875,4.666666666666667,157.58333333333334,17.666666666666668,6.5,27.833333333333332,0.0,11.6,6.0,2009,3,27,True
2009-03-28,0.4,35.0,21.0,49.25,1010.9166666666666,26.958333333333332,9.916666666666666,5.833333333333333,156.0,18.125,8.958333333333334,27.833333333333332,0.0,11.6,6.0,2009,3,28,True
2009-03-29,0.0,32.0,20.0,44.041666666666664,1010.4583333333334,26.125,10.0,8.791666666666666,124.70833333333333,6.916666666666667,13.041666666666666,27.25,0.0,11.6,7.0,2009,3,29,False
2009-03-30,0.0,34.0,19.0,41.833333333333336,1010.0,26.625,10.0,8.083333333333334,143.875,2.625,11.25,28.375,0.0,11.6,7.0,2009,3,30,False
2009-03-31,0.0,35.0,19.0,37.5,1008.8333333333334,27.0,10.0,9.708333333333334,152.83333333333334,1.4583333333333333,13.416666666666666,28.958333333333332,0.0,11.6,7.0,2009,3,31,False
